iter	Passed	Remaining
412	2484	3531
413	2489	3524
414	2496	3519
415	2502	3512
416	2511	3511
417	2516	3504
418	2525	3501
419	2530	3494
420	2538	3491
421	2544	3485
422	2550	3479
423	2556	3472
424	2560	3464
425	2565	3457
426	2570	3450
427	2575	3441
428	2582	3437
429	2586	3428
430	2593	3423
431	2597	3415
432	2603	3409
433	2608	3402
434	2612	3393
435	2616	3385
436	2620	3375
437	2623	3366
438	2630	3361
439	2634	3353
440	2639	3345
441	2641	3334
442	2646	3327
443	2651	3320
444	2668	3328
445	2678	3326
446	2683	3319
447	2688	3312
448	2755	3381
449	2766	3380
450	2773	3376
451	2792	3385
452	2821	3407
453	2832	3407
454	2844	3407
455	2853	3403
456	2859	3398
457	2867	3393
458	2873	3386
459	2880	3382
460	2886	3374
461	2890	3365
462	2914	3380
463	2919	3372
464	2922	3362
465	2925	3352
466	2928	3342
467	2931	3332
468	2940	3328
469	2942	3318
470	2946	3308
471	2953	3303
472	2957	3294
473	2960	3285
474	2968	3280
475	2971	3270
476	2973	3260
477	2981	3255
478	2983	3245
479	2986	3235
480	2991	3227
481	2994	3218
482	2998	3209
483	3001	3200
484	3005	3191
485	3008	3181
486	3010	3171
487	3015	3163
488	3019	3155
489	3023	3146
490	3026	3137
491	3031	3129
492	3034	3120
493	3037	3111
494	3039	3101
495	3044	3093
496	3047	3084
497	3051	3075
498	3059	3071
499	3062	3062
500	3065	3053
501	3068	3044
502	3073	3036
503	3076	3027
504	3079	3018
505	3084	3010
506	3086	3001
507	3089	2992
508	3092	2982
509	3097	2975
510	3100	2966
511	3102	2957
512	3105	2947
513	3111	2941
514	3113	2932
515	3116	2923
516	3125	2919
517	3130	2912
518	3139	2909
519	3143	2901
520	3148	2894
521	3153	2887
522	3155	2878
523	3158	2869
524	3163	2862
525	3167	2854
526	3170	2845
527	3175	2838
528	3178	2829
529	3180	2820
530	3183	2811
531	3187	2804
532	3191	2796
533	3194	2787
534	3196	2778
535	3200	2770
536	3204	2762
537	3206	2753
538	3209	2745
539	3214	2738
540	3219	2731
541	3222	2722
542	3224	2714
543	3230	2707
544	3233	2699
545	3235	2690
546	3240	2683
547	3244	2676
548	3246	2667
549	3249	2658
550	3254	2651
551	3257	2643
552	3259	2634
553	3262	2626
554	3266	2619
555	3269	2611
556	3272	2602
557	3278	2597
558	3282	2589
559	3284	2580
560	3287	2572
561	3295	2568
562	3301	2562
563	3309	2558
564	3313	2551
565	3318	2544
566	3322	2536
567	3324	2528
568	3327	2520
569	3329	2512
570	3335	2506
571	3338	2498
572	3341	2490
573	3347	2484
574	3350	2476
575	3352	2467
576	3356	2460
577	3361	2454
578	3364	2446
579	3367	2438
580	3372	2432
581	3375	2424
582	3377	2416
583	3383	2410
584	3388	2403
585	3391	2396
586	3394	2388
587	3399	2381
588	3401	2373
589	3404	2366
590	3407	2358
591	3411	2351
592	3415	2344
593	3420	2337
594	3424	2330
595	3427	2323
596	3430	2315
597	3433	2307
598	3436	2300
599	3439	2293
600	3444	2286
601	3447	2279
602	3452	2273
603	3456	2265
604	3458	2258
605	3467	2254
606	3470	2246
607	3472	2238
608	3478	2233
609	3482	2226
610	3485	2218
611	3489	2212
612	3493	2205
613	3495	2197
614	3498	2189
615	3500	2182
616	3503	2174
617	3507	2168
618	3511	2161
619	3516	2154
620	3519	2147
621	3523	2141
622	3528	2135
623	3532	2128
624	3534	2120
625	3536	2113
626	3541	2106
627	3545	2099
628	3547	2092
629	3550	2085
630	3554	2078
631	3558	2071
632	3561	2065
633	3564	2057
634	3569	2051
635	3571	2044
636	3574	2037
637	3578	2030
638	3582	2023
639	3584	2016
640	3587	2009
641	3591	2002
642	3595	1996
643	3597	1988
644	3600	1981
645	3607	1976
646	3610	1969
647	3613	1962
648	3619	1957
649	3624	1951
650	3627	1944
651	3630	1937
652	3634	1931
653	3638	1924
654	3644	1919
655	3647	1912
656	3649	1905
657	3652	1898
658	3658	1892
659	3661	1886
660	3664	1879
661	3669	1873
662	3672	1866
663	3675	1859
664	3677	1852
665	3680	1845
666	3685	1839
667	3687	1832
668	3690	1826
669	3694	1819
670	3698	1813
671	3700	1806
672	3703	1799
673	3707	1793
674	3711	1786
675	3713	1779
676	3717	1773
677	3721	1767
678	3725	1761
679	3728	1754
680	3731	1747
681	3735	1741
682	3739	1735
683	3742	1728
684	3746	1722
685	3750	1716
686	3753	1709
687	3755	1703
688	3762	1698
689	3765	1691
690	3767	1684
691	3771	1678
692	3775	1672
693	3780	1666
694	3787	1662
695	3790	1655
696	3793	1649
697	3801	1644
698	3804	1638
699	3807	1631
700	3813	1626
701	3816	1620
702	3819	1613
703	3823	1607
704	3827	1601
705	3830	1595
706	3833	1588
707	3837	1582
708	3842	1576
709	3844	1570
710	3847	1563
711	3851	1557
712	3854	1551
713	3857	1545
714	3860	1538
715	3865	1533
716	3868	1526
717	3871	1520
718	3875	1514
719	3878	1508
720	3881	1501
721	3884	1495
722	3886	1489
723	3891	1483
724	3894	1477
725	3896	1470
726	3900	1464
727	3904	1458
728	3906	1452
729	3909	1445
730	3913	1440
731	3918	1434
732	3920	1428
733	3924	1422
734	3929	1416
735	3931	1410
736	3934	1403
737	3943	1399
738	3948	1394
739	3952	1388
740	3957	1383
741	3962	1377
742	3967	1372
743	3971	1366
744	3974	1360
745	3976	1354
746	3981	1348
747	3984	1342
748	3986	1336
749	3989	1329
750	3994	1324
751	3998	1318
752	4000	1312
753	4003	1306
754	4007	1300
755	4010	1294
756	4013	1288
757	4016	1282
758	4020	1276
759	4023	1270
760	4025	1264
761	4028	1258
762	4033	1252
763	4036	1246
764	4038	1240
765	4041	1234
766	4045	1228
767	4049	1223
768	4052	1217
769	4054	1211
770	4059	1205
771	4062	1199
772	4064	1193
773	4067	1187
774	4071	1182
775	4075	1176
776	4078	1170
777	4082	1164
778	4086	1159
779	4088	1153
780	4091	1147
781	4094	1141
782	4099	1136
783	4101	1130
784	4104	1124
785	4113	1119
786	4116	1114
787	4120	1108
788	4124	1103
789	4128	1097
790	4131	1091
791	4137	1086
792	4142	1081
793	4145	1075
794	4150	1070
795	4154	1064
796	4156	1058
797	4159	1052
798	4163	1047
799	4167	1041
800	4169	1035
801	4172	1030
802	4176	1024
803	4179	1018
804	4182	1013
805	4185	1007
806	4188	1001
807	4191	996
808	4194	990
809	4198	984
810	4201	979
811	4204	973
812	4206	967
813	4209	961
814	4214	956
815	4218	951
816	4221	945
817	4223	939
818	4228	934
819	4231	928
820	4234	923
821	4238	917
822	4241	912
823	4243	906
824	4246	900
825	4250	895
826	4254	889
827	4257	884
